<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US0079031078 [NA_TECHNO],60,20160616,180000,4.550000,4.630000,4.530000,4.620000,3485592.000000
US0079031078 [NA_TECHNO],60,20160616,190000,4.615000,4.700000,4.600000,4.675000,4062461.000000
US0079031078 [NA_TECHNO],60,20160616,200000,4.670000,4.690000,4.620000,4.630100,1927456.000000
US0079031078 [NA_TECHNO],60,20160616,210000,4.639900,4.690000,4.635000,4.680000,1856760.000000
US0079031078 [NA_TECHNO],60,20160616,220000,4.675000,4.750000,4.670000,4.745000,7642848.000000
US0079031078 [NA_TECHNO],60,20160616,230000,4.750000,4.750000,4.619900,4.700000,423161.000000
US0079031078 [NA_TECHNO],60,20160617,000000,4.740000,4.750000,4.710000,4.740000,11805.000000
US0079031078 [NA_TECHNO],60,20160617,010000,4.740000,4.740000,4.740000,4.740000,1000.000000
US0079031078 [NA_TECHNO],60,20160617,140000,4.780000,4.780000,4.750000,4.750000,1413.000000
US0079031078 [NA_TECHNO],60,20160617,150000,4.750000,4.780000,4.710000,4.740000,38856.000000
US0079031078 [NA_TECHNO],60,20160617,160000,4.750000,4.850000,4.680000,4.848300,7654820.000000
US0079031078 [NA_TECHNO],60,20160617,170000,4.850000,5.180000,4.840000,5.050000,17293870.000000
US0079031078 [NA_TECHNO],60,20160617,180000,5.059900,5.170000,5.030000,5.170000,7100789.000000
US0079031078 [NA_TECHNO],60,20160617,190000,5.165000,5.240000,5.080000,5.100000,6993042.000000
US0079031078 [NA_TECHNO],60,20160617,200000,5.095000,5.170000,5.060000,5.140000,5387853.000000
US0079031078 [NA_TECHNO],60,20160617,210000,5.140000,5.220000,5.140000,5.200000,4647057.000000
US0079031078 [NA_TECHNO],60,20160617,220000,5.207000,5.270000,5.180000,5.270000,12061646.000000
US0079031078 [NA_TECHNO],60,20160617,230000,5.265000,5.280000,4.760000,5.260000,2587568.000000
US0079031078 [NA_TECHNO],60,20160618,000000,5.260000,5.270000,5.250000,5.270000,14545.000000
US0079031078 [NA_TECHNO],60,20160618,010000,5.270000,5.270000,5.260000,5.260000,810.000000
US0079031078 [NA_TECHNO],60,20160620,120000,5.390000,5.390000,5.390000,5.390000,100.000000
US0079031078 [NA_TECHNO],60,20160620,130000,5.300000,5.380000,5.300000,5.340000,11625.000000
US0079031078 [NA_TECHNO],60,20160620,140000,5.350000,5.420000,5.340000,5.410000,16550.000000
US0079031078 [NA_TECHNO],60,20160620,150000,5.400000,5.410000,5.260000,5.380000,88819.000000
US0079031078 [NA_TECHNO],60,20160620,160000,5.380000,5.450000,5.170000,5.180000,9895041.000000
US0079031078 [NA_TECHNO],60,20160620,170000,5.180000,5.380000,5.170100,5.330000,7704217.000000
US0079031078 [NA_TECHNO],60,20160620,180000,5.330000,5.365000,5.205000,5.222000,5187767.000000
US0079031078 [NA_TECHNO],60,20160620,190000,5.222700,5.250000,5.180000,5.190000,4515784.000000
US0079031078 [NA_TECHNO],60,20160620,200000,5.190000,5.210000,5.150000,5.155000,4474592.000000
US0079031078 [NA_TECHNO],60,20160620,210000,5.155000,5.180000,5.100000,5.160100,4265305.000000
US0079031078 [NA_TECHNO],60,20160620,220000,5.160000,5.180000,5.090000,5.095000,6089048.000000
US0079031078 [NA_TECHNO],60,20160620,230000,5.100000,5.230500,5.060000,5.130000,613161.000000
US0079031078 [NA_TECHNO],60,20160621,000000,5.120000,5.130000,5.120000,5.130000,3800.000000
US0079031078 [NA_TECHNO],60,20160621,120000,5.220000,5.220000,5.220000,5.220000,100.000000
US0079031078 [NA_TECHNO],60,20160621,140000,5.200000,5.200000,5.150000,5.170000,520.000000
US0079031078 [NA_TECHNO],60,20160621,150000,5.150000,5.170000,5.120000,5.140000,25604.000000
US0079031078 [NA_TECHNO],60,20160621,160000,5.120000,5.300000,5.090000,5.300000,5618417.000000
US0079031078 [NA_TECHNO],60,20160621,170000,5.295000,5.390000,5.260000,5.325000,8022421.000000
US0079031078 [NA_TECHNO],60,20160621,180000,5.325000,5.410000,5.290000,5.360000,5265742.000000
US0079031078 [NA_TECHNO],60,20160621,190000,5.351900,5.370000,5.340000,5.360000,1816248.000000
US0079031078 [NA_TECHNO],60,20160621,200000,5.365000,5.380000,5.310000,5.350000,2220362.000000
US0079031078 [NA_TECHNO],60,20160621,210000,5.360000,5.490000,5.350000,5.480000,5694565.000000
US0079031078 [NA_TECHNO],60,20160621,220000,5.479000,5.500000,5.420000,5.450000,6430470.000000
US0079031078 [NA_TECHNO],60,20160621,230000,5.450000,5.470000,5.362500,5.440000,343689.000000
US0079031078 [NA_TECHNO],60,20160622,000000,5.440000,5.440000,5.298000,5.440000,7880.000000
US0079031078 [NA_TECHNO],60,20160622,110000,5.430000,5.490000,5.430000,5.470000,7040.000000
US0079031078 [NA_TECHNO],60,20160622,120000,5.480000,5.480000,5.450000,5.450000,4874.000000
US0079031078 [NA_TECHNO],60,20160622,130000,5.450000,5.450000,5.450000,5.450000,100.000000
US0079031078 [NA_TECHNO],60,20160622,140000,5.450000,5.470000,5.450000,5.470000,1213.000000
US0079031078 [NA_TECHNO],60,20160622,150000,5.470000,5.500000,5.450000,5.450000,22298.000000
US0079031078 [NA_TECHNO],60,20160622,160000,5.460000,5.520000,5.330000,5.350000,6435956.000000
US0079031078 [NA_TECHNO],60,20160622,170000,5.359900,5.380000,5.280000,5.325000,6722136.000000
US0079031078 [NA_TECHNO],60,20160622,180000,5.330000,5.370000,5.270000,5.285000,4601436.000000
US0079031078 [NA_TECHNO],60,20160622,190000,5.280000,5.290000,5.060000,5.070100,7464848.000000
US0079031078 [NA_TECHNO],60,20160622,200000,5.070000,5.100000,4.960000,5.042500,8886342.000000
US0079031078 [NA_TECHNO],60,20160622,210000,5.045000,5.070000,5.000000,5.035000,3865126.000000
US0079031078 [NA_TECHNO],60,20160622,220000,5.035000,5.120000,5.000000,5.025000,8269480.000000
US0079031078 [NA_TECHNO],60,20160622,230000,5.020000,5.181800,5.020000,5.040000,359023.000000
US0079031078 [NA_TECHNO],60,20160623,000000,5.040000,5.070000,5.020000,5.060000,20086.000000
US0079031078 [NA_TECHNO],60,20160623,120000,5.240000,5.240000,5.240000,5.240000,100.000000
US0079031078 [NA_TECHNO],60,20160623,140000,5.160000,5.180000,5.140000,5.180000,3061.000000
US0079031078 [NA_TECHNO],60,20160623,150000,5.030000,5.230000,5.030000,5.110000,89504.000000
US0079031078 [NA_TECHNO],60,20160623,160000,5.130000,5.200000,5.020000,5.100000,6555606.000000
US0079031078 [NA_TECHNO],60,20160623,170000,5.110000,5.190000,5.105000,5.180100,4719995.000000
US0079031078 [NA_TECHNO],60,20160623,180000,5.185000,5.260000,5.165000,5.205000,4533372.000000
US0079031078 [NA_TECHNO],60,20160623,190000,5.205000,5.220000,5.190000,5.195000,1862086.000000
US0079031078 [NA_TECHNO],60,20160623,200000,5.195000,5.220000,5.180000,5.200000,2026276.000000
US0079031078 [NA_TECHNO],60,20160623,210000,5.200000,5.200000,5.160000,5.190000,2673590.000000
US0079031078 [NA_TECHNO],60,20160623,220000,5.185000,5.210000,5.160000,5.209900,3792247.000000
US0079031078 [NA_TECHNO],60,20160623,230000,5.210000,5.220000,5.210000,5.220000,2595199.000000
US0079031078 [NA_TECHNO],60,20160624,000000,5.220000,5.250000,5.200000,5.250000,22834.000000
US0079031078 [NA_TECHNO],60,20160624,010000,5.250000,5.250000,5.250000,5.250000,1360.000000
US0079031078 [NA_TECHNO],60,20160624,110000,5.010000,5.010000,4.920000,4.920000,23358.000000
US0079031078 [NA_TECHNO],60,20160624,120000,4.920000,4.920000,4.910000,4.910000,1392.000000
US0079031078 [NA_TECHNO],60,20160624,130000,4.910000,4.910000,4.850000,4.900000,16870.000000
US0079031078 [NA_TECHNO],60,20160624,140000,4.900000,4.980000,4.850000,4.970000,36768.000000
US0079031078 [NA_TECHNO],60,20160624,150000,4.950000,5.210000,4.780000,4.860000,360662.000000
US0079031078 [NA_TECHNO],60,20160624,160000,4.850000,5.050000,4.760000,5.038000,9149386.000000
US0079031078 [NA_TECHNO],60,20160624,170000,5.030000,5.067500,4.950000,5.010000,5879506.000000
US0079031078 [NA_TECHNO],60,20160624,180000,5.005000,5.020000,4.970000,4.975000,2400622.000000
US0079031078 [NA_TECHNO],60,20160624,190000,4.980000,4.980000,4.830000,4.830000,3688649.000000
US0079031078 [NA_TECHNO],60,20160624,200000,4.837200,4.910000,4.825000,4.880000,2443337.000000
US0079031078 [NA_TECHNO],60,20160624,210000,4.880000,4.900000,4.830000,4.879900,2600287.000000
US0079031078 [NA_TECHNO],60,20160624,220000,4.880000,4.930000,4.860000,4.860000,5859910.000000
US0079031078 [NA_TECHNO],60,20160624,230000,4.880000,4.900000,4.860000,4.879100,3764645.000000
US0079031078 [NA_TECHNO],60,20160625,000000,4.890000,4.910000,4.870000,4.870000,666056.000000
US0079031078 [NA_TECHNO],60,20160625,010000,4.870000,4.870000,4.870000,4.870000,710.000000
US0079031078 [NA_TECHNO],60,20160627,140000,4.820000,4.850000,4.800000,4.800000,4915.000000
US0079031078 [NA_TECHNO],60,20160627,150000,4.800000,4.890000,4.770000,4.860000,41340.000000
US0079031078 [NA_TECHNO],60,20160627,160000,4.880000,5.050000,4.870000,4.956000,4541838.000000
US0079031078 [NA_TECHNO],60,20160627,170000,4.955000,4.970000,4.720000,4.720000,5436693.000000
US0079031078 [NA_TECHNO],60,20160627,180000,4.725000,4.820000,4.670000,4.760000,4786397.000000
US0079031078 [NA_TECHNO],60,20160627,190000,4.765000,4.880000,4.740000,4.860000,2203277.000000
US0079031078 [NA_TECHNO],60,20160627,200000,4.853000,4.900000,4.770000,4.800000,3477091.000000
US0079031078 [NA_TECHNO],60,20160627,210000,4.795000,4.800000,4.650000,4.665000,4926887.000000
US0079031078 [NA_TECHNO],60,20160627,220000,4.670000,4.740000,4.650600,4.720000,4637621.000000
US0079031078 [NA_TECHNO],60,20160627,230000,4.720000,4.815000,4.700000,4.815000,536288.000000
US0079031078 [NA_TECHNO],60,20160628,000000,4.710000,4.740000,4.710000,4.740000,14480.000000
US0079031078 [NA_TECHNO],60,20160628,110000,4.850000,4.850000,4.800000,4.800000,1300.000000
US0079031078 [NA_TECHNO],60,20160628,130000,4.880000,4.880000,4.880000,4.880000,500.000000
US0079031078 [NA_TECHNO],60,20160628,140000,4.810000,4.870000,4.810000,4.870000,9972.000000
US0079031078 [NA_TECHNO],60,20160628,150000,4.870000,4.900000,4.850000,4.890000,105339.000000
US0079031078 [NA_TECHNO],60,20160628,160000,4.880000,5.070000,4.880000,5.060000,4918426.000000
US0079031078 [NA_TECHNO],60,20160628,170000,5.060000,5.140000,5.010000,5.080100,6008969.000000
US0079031078 [NA_TECHNO],60,20160628,180000,5.085000,5.185000,5.060000,5.180000,4251536.000000
US0079031078 [NA_TECHNO],60,20160628,190000,5.180000,5.180000,5.130000,5.146900,2716275.000000
US0079031078 [NA_TECHNO],60,20160628,200000,5.145000,5.160000,5.080000,5.115000,2353697.000000
US0079031078 [NA_TECHNO],60,20160628,210000,5.120000,5.165000,5.090000,5.150000,3050765.000000
US0079031078 [NA_TECHNO],60,20160628,220000,5.150000,5.160000,5.090000,5.110000,4419203.000000
US0079031078 [NA_TECHNO],60,20160628,230000,5.120000,5.120600,5.100000,5.110000,718611.000000
US0079031078 [NA_TECHNO],60,20160629,000000,5.120000,5.120000,5.100000,5.110000,45664.000000
US0079031078 [NA_TECHNO],60,20160629,120000,5.220000,5.220000,5.220000,5.220000,200.000000
US0079031078 [NA_TECHNO],60,20160629,130000,5.220000,5.220000,5.220000,5.220000,18860.000000
US0079031078 [NA_TECHNO],60,20160629,140000,5.250000,5.300000,5.230000,5.230000,12548.000000
US0079031078 [NA_TECHNO],60,20160629,150000,5.240000,5.320000,5.240000,5.290000,157147.000000
US0079031078 [NA_TECHNO],60,20160629,160000,5.300000,5.400000,5.240000,5.260700,7218643.000000
US0079031078 [NA_TECHNO],60,20160629,170000,5.260100,5.270000,5.100000,5.200000,8327806.000000
US0079031078 [NA_TECHNO],60,20160629,180000,5.200000,5.270000,5.190000,5.220000,3930791.000000
US0079031078 [NA_TECHNO],60,20160629,190000,5.215000,5.230000,5.130000,5.170000,3315623.000000
US0079031078 [NA_TECHNO],60,20160629,200000,5.160000,5.190000,5.120000,5.160000,2628772.000000
US0079031078 [NA_TECHNO],60,20160629,210000,5.159000,5.180000,5.120000,5.140000,1943106.000000
US0079031078 [NA_TECHNO],60,20160629,220000,5.130000,5.160000,5.120000,5.130000,4396471.000000
US0079031078 [NA_TECHNO],60,20160629,230000,5.130000,5.150000,5.120000,5.120000,508794.000000
US0079031078 [NA_TECHNO],60,20160630,000000,5.120000,5.130000,5.120000,5.120000,23079.000000
US0079031078 [NA_TECHNO],60,20160630,130000,5.090000,5.090000,5.090000,5.090000,1000.000000
US0079031078 [NA_TECHNO],60,20160630,140000,5.120000,5.170000,5.120000,5.150000,3530.000000
US0079031078 [NA_TECHNO],60,20160630,150000,5.150000,5.160000,5.100000,5.130000,96047.000000
US0079031078 [NA_TECHNO],60,20160630,160000,5.130000,5.190000,5.070000,5.085000,2871731.000000
US0079031078 [NA_TECHNO],60,20160630,170000,5.085000,5.090000,4.950000,5.010100,5359658.000000
US0079031078 [NA_TECHNO],60,20160630,180000,5.016200,5.100000,5.000000,5.070000,2705513.000000
US0079031078 [NA_TECHNO],60,20160630,190000,5.070000,5.130000,5.055000,5.085000,2133215.000000
US0079031078 [NA_TECHNO],60,20160630,200000,5.090000,5.100000,5.050000,5.100000,1595230.000000
