<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US33734X1928 [NA_ETF],60,20161021,160000,33.840000,33.960000,33.816000,33.927500,165000.000000
US33734X1928 [NA_ETF],60,20161021,170000,33.946000,33.960000,33.910000,33.938900,243300.000000
US33734X1928 [NA_ETF],60,20161021,180000,33.945200,34.060000,33.923900,34.012500,517400.000000
US33734X1928 [NA_ETF],60,20161021,190000,34.049900,34.050000,34.000000,34.038000,385100.000000
US33734X1928 [NA_ETF],60,20161021,200000,34.000100,34.050000,34.000000,34.036100,641700.000000
US33734X1928 [NA_ETF],60,20161021,210000,34.045000,34.093500,34.011000,34.082200,682300.000000
US33734X1928 [NA_ETF],60,20161021,220000,34.074900,34.129900,34.051000,34.090000,365500.000000
US33734X1928 [NA_ETF],60,20161021,230000,34.120000,34.120000,34.120000,34.120000,23700.000000
US33734X1928 [NA_ETF],60,20161024,160000,34.420000,34.440000,34.261000,34.437500,444200.000000
US33734X1928 [NA_ETF],60,20161024,170000,34.419700,34.449600,34.324800,34.358500,914700.000000
US33734X1928 [NA_ETF],60,20161024,180000,34.356800,34.410000,34.356800,34.390000,106200.000000
US33734X1928 [NA_ETF],60,20161024,190000,34.375000,34.389900,34.350000,34.350200,486100.000000
US33734X1928 [NA_ETF],60,20161024,200000,34.360000,34.407600,34.350000,34.404000,388500.000000
US33734X1928 [NA_ETF],60,20161024,210000,34.402500,34.402500,34.365500,34.392700,480000.000000
US33734X1928 [NA_ETF],60,20161024,220000,34.384100,34.460000,34.360100,34.450000,2294600.000000
US33734X1928 [NA_ETF],60,20161024,230000,34.450000,34.450000,34.450000,34.450000,19900.000000
US33734X1928 [NA_ETF],60,20161025,160000,34.610000,34.610000,34.340000,34.350000,775000.000000
US33734X1928 [NA_ETF],60,20161025,170000,34.350000,34.350000,34.160100,34.209600,692200.000000
US33734X1928 [NA_ETF],60,20161025,180000,34.229700,34.279900,34.210000,34.240100,331600.000000
US33734X1928 [NA_ETF],60,20161025,190000,34.230000,34.259600,34.180000,34.239100,1114400.000000
US33734X1928 [NA_ETF],60,20161025,200000,34.254800,34.320000,34.200000,34.310000,1235300.000000
US33734X1928 [NA_ETF],60,20161025,210000,34.330000,34.330300,34.286500,34.286500,958500.000000
US33734X1928 [NA_ETF],60,20161025,220000,34.280000,34.320000,34.270000,34.320000,1177900.000000
US33734X1928 [NA_ETF],60,20161026,000000,34.350000,34.350000,34.350000,34.350000,1000.000000
US33734X1928 [NA_ETF],60,20161026,160000,34.490000,34.540000,34.390100,34.495000,956400.000000
US33734X1928 [NA_ETF],60,20161026,170000,34.519900,34.650000,34.471000,34.650000,1190300.000000
US33734X1928 [NA_ETF],60,20161026,180000,34.660000,34.720000,34.650000,34.670000,806800.000000
US33734X1928 [NA_ETF],60,20161026,190000,34.631400,34.690000,34.620000,34.640000,947200.000000
US33734X1928 [NA_ETF],60,20161026,200000,34.639000,34.650000,34.510000,34.515000,851800.000000
US33734X1928 [NA_ETF],60,20161026,210000,34.525000,34.529700,34.451000,34.490000,1308200.000000
US33734X1928 [NA_ETF],60,20161026,220000,34.520000,34.520000,34.471100,34.510000,1633600.000000
US33734X1928 [NA_ETF],60,20161027,160000,34.810000,34.810000,34.565300,34.700000,777000.000000
US33734X1928 [NA_ETF],60,20161027,170000,34.695200,34.719900,34.521000,34.556000,1104000.000000
US33734X1928 [NA_ETF],60,20161027,180000,34.519500,34.557500,34.431000,34.530000,624000.000000
US33734X1928 [NA_ETF],60,20161027,190000,34.514400,34.540000,34.400000,34.431500,766800.000000
US33734X1928 [NA_ETF],60,20161027,200000,34.435200,34.510000,34.420100,34.486000,772700.000000
US33734X1928 [NA_ETF],60,20161027,210000,34.500000,34.518000,34.380000,34.380000,884600.000000
US33734X1928 [NA_ETF],60,20161027,220000,34.424200,34.424200,34.300000,34.350000,1053900.000000
US33734X1928 [NA_ETF],60,20161028,160000,34.300000,34.560000,34.240000,34.439900,562200.000000
US33734X1928 [NA_ETF],60,20161028,170000,34.439900,34.589900,34.390000,34.514300,781500.000000
US33734X1928 [NA_ETF],60,20161028,180000,34.525200,34.560000,34.500000,34.559900,1330600.000000
US33734X1928 [NA_ETF],60,20161028,190000,34.550000,34.560000,34.510000,34.560000,353900.000000
US33734X1928 [NA_ETF],60,20161028,200000,34.548900,34.548900,34.329300,34.370000,734700.000000
US33734X1928 [NA_ETF],60,20161028,210000,34.333900,34.450000,34.260000,34.436800,1115700.000000
US33734X1928 [NA_ETF],60,20161028,220000,34.460000,34.477500,34.370100,34.400000,1438100.000000
US33734X1928 [NA_ETF],60,20161028,230000,34.420000,34.420000,34.420000,34.420000,89600.000000
US33734X1928 [NA_ETF],60,20161031,160000,34.630000,34.630000,34.410000,34.430000,796400.000000
US33734X1928 [NA_ETF],60,20161031,170000,34.391000,34.470000,34.371000,34.429000,580800.000000
US33734X1928 [NA_ETF],60,20161031,180000,34.402400,34.519900,34.400100,34.486000,1439500.000000
US33734X1928 [NA_ETF],60,20161031,190000,34.480000,34.540000,34.469300,34.476500,577200.000000
US33734X1928 [NA_ETF],60,20161031,200000,34.483200,34.520000,34.461000,34.474800,2976000.000000
US33734X1928 [NA_ETF],60,20161031,210000,34.489000,34.510000,34.447500,34.490000,1100400.000000
US33734X1928 [NA_ETF],60,20161031,220000,34.473000,34.550000,34.461000,34.480000,1966200.000000
US33734X1928 [NA_ETF],60,20161031,230000,34.480000,34.480000,34.480000,34.480000,10100.000000
US33734X1928 [NA_ETF],60,20161101,160000,34.630000,34.630000,34.399900,34.399900,351500.000000
US33734X1928 [NA_ETF],60,20161101,170000,34.400000,34.425400,34.280300,34.350000,1683000.000000
US33734X1928 [NA_ETF],60,20161101,180000,34.366500,34.400000,34.288500,34.288500,1137800.000000
US33734X1928 [NA_ETF],60,20161101,190000,34.292500,34.325500,34.160100,34.175000,463600.000000
US33734X1928 [NA_ETF],60,20161101,200000,34.189900,34.189900,33.960000,33.988000,818700.000000
US33734X1928 [NA_ETF],60,20161101,210000,33.971400,34.059900,33.862400,34.036600,860000.000000
US33734X1928 [NA_ETF],60,20161101,220000,34.020000,34.140000,34.000000,34.082900,2192800.000000
US33734X1928 [NA_ETF],60,20161101,230000,34.100000,34.100000,34.100000,34.100000,10000.000000
US33734X1928 [NA_ETF],60,20161102,160000,34.160000,34.160000,34.000000,34.035000,856800.000000
US33734X1928 [NA_ETF],60,20161102,170000,34.090000,34.110300,33.955500,33.980100,430000.000000
US33734X1928 [NA_ETF],60,20161102,180000,33.969900,34.059900,33.955000,33.990000,501900.000000
US33734X1928 [NA_ETF],60,20161102,190000,33.951400,33.971700,33.886500,33.929900,250400.000000
US33734X1928 [NA_ETF],60,20161102,200000,33.850600,33.850600,33.750100,33.780000,373100.000000
US33734X1928 [NA_ETF],60,20161102,210000,33.827000,33.895900,33.640000,33.735000,865700.000000
US33734X1928 [NA_ETF],60,20161102,220000,33.741500,33.820000,33.710000,33.740000,1248200.000000
US33734X1928 [NA_ETF],60,20161102,230000,33.740000,33.740000,33.740000,33.740000,10000.000000
US33734X1928 [NA_ETF],60,20161103,160000,33.780000,33.780000,33.657900,33.734000,568500.000000
US33734X1928 [NA_ETF],60,20161103,170000,33.690000,33.803800,33.620000,33.797200,444400.000000
US33734X1928 [NA_ETF],60,20161103,180000,33.777500,33.839600,33.760000,33.790000,500900.000000
US33734X1928 [NA_ETF],60,20161103,190000,33.778200,33.790000,33.630000,33.670000,1371700.000000
US33734X1928 [NA_ETF],60,20161103,200000,33.665900,33.706000,33.604100,33.620000,365500.000000
US33734X1928 [NA_ETF],60,20161103,210000,33.620000,33.703200,33.600000,33.703200,791000.000000
US33734X1928 [NA_ETF],60,20161103,220000,33.705000,33.730000,33.580100,33.639700,2043400.000000
US33734X1928 [NA_ETF],60,20161103,230000,33.640000,33.640000,33.640000,33.640000,10300.000000
US33734X1928 [NA_ETF],60,20161104,160000,33.770000,33.770000,33.400100,33.420100,494800.000000
US33734X1928 [NA_ETF],60,20161104,170000,33.421800,33.560000,33.402800,33.530000,385700.000000
US33734X1928 [NA_ETF],60,20161104,180000,33.508100,33.638800,33.508100,33.555000,821100.000000
US33734X1928 [NA_ETF],60,20161104,190000,33.585300,33.703700,33.585300,33.690000,416600.000000
US33734X1928 [NA_ETF],60,20161104,200000,33.684900,33.737300,33.640000,33.660000,1742800.000000
US33734X1928 [NA_ETF],60,20161104,210000,33.630800,33.645000,33.460100,33.460100,825200.000000
US33734X1928 [NA_ETF],60,20161104,220000,33.454100,33.500000,33.331200,33.360000,941500.000000
US33734X1928 [NA_ETF],60,20161104,230000,33.380000,33.380000,33.380000,33.380000,10500.000000
US33734X1928 [NA_ETF],60,20161107,170000,34.200000,34.290000,33.950000,34.290000,3007500.000000
US33734X1928 [NA_ETF],60,20161107,180000,34.240000,34.380000,34.230000,34.379400,796400.000000
US33734X1928 [NA_ETF],60,20161107,190000,34.370800,34.430400,34.321400,34.380000,635800.000000
US33734X1928 [NA_ETF],60,20161107,200000,34.409100,34.455000,34.340000,34.380400,598300.000000
US33734X1928 [NA_ETF],60,20161107,210000,34.420000,34.420000,34.350000,34.365200,249600.000000
US33734X1928 [NA_ETF],60,20161107,220000,34.397600,34.410000,34.290100,34.290100,975800.000000
US33734X1928 [NA_ETF],60,20161107,230000,34.300000,34.410000,34.260000,34.340000,2597700.000000
US33734X1928 [NA_ETF],60,20161108,000000,34.400000,34.400000,34.400000,34.400000,30300.000000
US33734X1928 [NA_ETF],60,20161108,170000,34.450000,34.450000,34.240000,34.251000,1599000.000000
US33734X1928 [NA_ETF],60,20161108,180000,34.260000,34.390000,34.260000,34.364100,956900.000000
US33734X1928 [NA_ETF],60,20161108,190000,34.398000,34.540000,34.360000,34.512300,759400.000000
US33734X1928 [NA_ETF],60,20161108,200000,34.580000,34.700000,34.550000,34.700000,347400.000000
US33734X1928 [NA_ETF],60,20161108,210000,34.670000,34.719900,34.600000,34.601000,721700.000000
US33734X1928 [NA_ETF],60,20161108,220000,34.590000,34.629900,34.505000,34.569900,753800.000000
US33734X1928 [NA_ETF],60,20161108,230000,34.539100,34.659200,34.520100,34.580000,2350800.000000
US33734X1928 [NA_ETF],60,20161109,000000,34.610000,34.610000,34.610000,34.610000,100.000000
US33734X1928 [NA_ETF],60,20161109,170000,33.810000,34.420000,33.740000,34.350000,2563700.000000
US33734X1928 [NA_ETF],60,20161109,180000,34.355000,34.355000,34.087900,34.150000,1083400.000000
US33734X1928 [NA_ETF],60,20161109,190000,34.205800,34.615000,34.204700,34.546600,538200.000000
US33734X1928 [NA_ETF],60,20161109,200000,34.513400,34.589900,34.390000,34.540000,1213300.000000
US33734X1928 [NA_ETF],60,20161109,210000,34.531000,34.576700,34.345000,34.393600,730800.000000
US33734X1928 [NA_ETF],60,20161109,220000,34.410000,34.640000,34.410000,34.558300,899100.000000
US33734X1928 [NA_ETF],60,20161109,230000,34.554200,34.622000,34.480000,34.510000,1000000.000000
US33734X1928 [NA_ETF],60,20161110,000000,34.570000,34.570000,34.570000,34.570000,14500.000000
US33734X1928 [NA_ETF],60,20161110,170000,34.600000,34.749900,34.450000,34.550000,665500.000000
US33734X1928 [NA_ETF],60,20161110,180000,34.569000,34.589900,33.659000,33.711000,1154500.000000
US33734X1928 [NA_ETF],60,20161110,190000,33.791500,34.090000,33.740000,33.960700,812500.000000
US33734X1928 [NA_ETF],60,20161110,200000,33.920000,34.120000,33.920000,34.118800,624900.000000
US33734X1928 [NA_ETF],60,20161110,210000,34.179000,34.379900,34.120000,34.347800,776400.000000
US33734X1928 [NA_ETF],60,20161110,220000,34.319900,34.319900,34.167900,34.211000,3254100.000000
US33734X1928 [NA_ETF],60,20161110,230000,34.246200,34.290000,34.070000,34.130000,1882300.000000
US33734X1928 [NA_ETF],60,20161111,000000,34.120000,34.120000,34.120000,34.120000,40000.000000
US33734X1928 [NA_ETF],60,20161111,170000,34.000000,34.020000,33.875500,33.899300,1766900.000000
US33734X1928 [NA_ETF],60,20161111,180000,34.050400,34.170000,33.994100,34.019900,794300.000000
US33734X1928 [NA_ETF],60,20161111,190000,34.050000,34.075000,33.910000,34.020100,664800.000000
US33734X1928 [NA_ETF],60,20161111,200000,34.050000,34.170000,34.050000,34.110100,483600.000000
US33734X1928 [NA_ETF],60,20161111,210000,34.090000,34.159900,34.050000,34.050000,338500.000000
US33734X1928 [NA_ETF],60,20161111,220000,34.017300,34.101000,33.996200,33.996200,1171900.000000
US33734X1928 [NA_ETF],60,20161111,230000,34.039000,34.150000,34.035000,34.130000,1569700.000000
US33734X1928 [NA_ETF],60,20161112,000000,34.160000,34.160000,34.160000,34.160000,20000.000000
US33734X1928 [NA_ETF],60,20161114,170000,34.200000,34.370000,34.030100,34.048400,2324900.000000
US33734X1928 [NA_ETF],60,20161114,180000,34.070000,34.149900,33.815300,33.815300,1893400.000000
US33734X1928 [NA_ETF],60,20161114,190000,33.800000,33.919000,33.707400,33.859600,474000.000000
US33734X1928 [NA_ETF],60,20161114,200000,33.826000,33.839000,33.725000,33.801700,966500.000000
US33734X1928 [NA_ETF],60,20161114,210000,33.876200,34.030000,33.872500,33.887500,289700.000000
US33734X1928 [NA_ETF],60,20161114,220000,33.884600,33.955200,33.880000,33.955200,743900.000000
US33734X1928 [NA_ETF],60,20161114,230000,33.951000,34.020000,33.870100,33.900000,1301400.000000
US33734X1928 [NA_ETF],60,20161115,000000,33.930000,33.930000,33.930000,33.930000,30000.000000
US33734X1928 [NA_ETF],60,20161115,170000,34.020000,34.280000,34.020000,34.209900,745400.000000
US33734X1928 [NA_ETF],60,20161115,180000,34.270000,34.399100,34.230000,34.238300,9833100.000000
